image,c0_h,c0_s,c0_v,c0_r,c1_h,c1_s,c1_v,c1_r,c2_h,c2_s,c2_v,c2_r,c3_h,c3_s,c3_v,c3_r
canadaojp_2016_11_07_222959.jpg,0.0,0.0,0.07127530257385968,0.0,0.0,0.0,0.09574280162515457,0.38160222635466706,0.0,0.0,0.12115677321156772,0.4410480913270314,0.0,0.0,0.15035460992907806,0.6547923446459011
canadaojp_2016_11_07_225959.jpg,0.0,0.0,0.069813041495668,0.0,0.0,0.0,0.09162861491628614,0.20145991528488041,0.0,0.0,0.11717060656038115,0.4495712588460148,0.0,0.0,0.14706761628418183,0.6827057182705718
canadaojp_2016_11_07_232959.jpg,0.0,0.0,0.07116920842411043,0.0,0.0,0.0,0.09694989106753812,0.37847060798594967,0.0,0.0,0.12542316071727838,0.31272276460560977,0.0,0.0,0.15359076145795741,0.75139470013947
canadaojp_2016_11_07_235959.jpg,0.0,0.0,0.07031711450012108,0.0,0.0,0.0,0.0962292609351433,0.178021204607676,0.0,0.0,0.12114317425083242,0.7657420321297588,0.0,0.0,0.14901960784313725,0.6666666666666666
canadaojp_2016_11_08_002959.jpg,0.0,0.0,0.07060960624031631,0.0,0.0,0.0,0.0975787284610814,0.37829627046851594,0.0,0.0,0.1247058823529412,0.3032568831034661,0.0,0.0,0.15252349460494255,0.752837827367116
canadaojp_2016_11_08_005959.jpg,0.0,0.0,0.07071078431372546,0.0,0.0,0.0,0.09840438199571326,0.220120486595382,0.0,0.0,0.1247205424225765,0.3125355131979958,0.0,0.0,0.15253636938646425,0.7565570277390361
canadaojp_2016_11_08_013000.jpg,0.0,0.0,0.06884531590413942,0.0,0.0,0.0,0.0938045180049206,0.3449267782426778,0.0,0.0,0.12193858675545691,0.4490611601838938,0.0,0.0,0.15036965605914498,0.769981016581435
canadaojp_2016_11_08_015959.jpg,0.0,0.0,0.07252516578407522,0.0,0.0,0.0,0.10185892538833716,0.4138643524975464,0.0,0.0,0.12998520162782093,0.4852523374141226,0.0,0.0,0.15640612409347304,0.641591120409112
canadaojp_2016_11_08_023000.jpg,0.0,0.0,0.07055233992910666,0.0,0.0,0.0,0.09694989106753812,0.2105577509168862,0.0,0.0,0.12409095093436437,0.4981145720336794,0.0,0.0,0.15256930358350235,0.3730338602200527
canadaojp_2016_11_08_025959.jpg,0.0,0.0,0.06917690152984274,0.0,0.0,0.0,0.09264491822930046,0.1878486750348675,0.0,0.0,0.11651140094046669,0.44636861408130585,0.0,0.0,0.14729074425469113,1.085880598171393
canadaojp_2016_11_08_033000.jpg,0.0,0.0,0.07063437139561704,0.0,0.0,0.0,0.09774752876357154,0.20998308280386382,0.0,0.0,0.12451478053150195,0.4974043080737641,0.0,0.0,0.15273933102652826,0.40169301100263444
canadaojp_2016_11_08_035959.jpg,0.0,0.0,0.07002655228758171,0.0,0.0,0.0,0.09777484027318792,0.18684784854589598,0.0,0.0,0.12310119450078882,0.3297303579730358,0.0,0.0,0.14928851540616245,0.7561405547807222
canadaojp_2016_11_08_043000.jpg,0.0,0.0,0.07060839760068549,0.0,0.0,0.0,0.0953365129835718,0.3943030373469704,0.0,0.0,0.12147344374643061,0.33397257089725707,0.0,0.0,0.14981249330333227,0.6555671780567178
canadaojp_2016_11_08_045959.jpg,0.0,0.0,0.06901517669214577,0.0,0.0,0.0,0.0927595280536457,0.18109793894312723,0.0,0.0,0.12088235294117648,0.682757373831293,0.0,0.0,0.14848179271708684,0.6680613668061367
canadaojp_2016_11_08_052959.jpg,0.0,0.0,0.07249920753520805,0.0,0.0,0.0,0.10475136763169217,0.42702683506379463,0.0,0.0,0.1429300175354695,0.00011622501162250116,0.0,0.0,0.3803921568627451,0.9227491089415776
canadaojp_2016_11_08_055959.jpg,0.0,0.0,0.06897603485838782,0.0,0.0,0.0,0.09142572283150549,0.25471356991580146,0.0,0.0,0.11906549853984146,0.34988894054444963,0.0,0.0,0.15008701705534286,0.6708120254145359
canadaojp_2016_11_08_062959.jpg,0.0,0.0,0.06903275276591082,0.0,0.0,0.0,0.09136622390891841,0.35809248928147114,0.0,0.0,0.11699058478016758,0.38764915543158224,0.0,0.0,0.14711752964658917,0.6774368510770185
canadaojp_2016_11_08_065959.jpg,0.0,0.0,0.08392799742847953,0.0,0.0,0.0,0.12252100840336135,0.23643072989307298,0.0,0.0,0.1630884260318914,0.692190970607986,0.0,0.0,0.2949891067538126,0.05268867193553386
canadaojp_2016_11_08_072959.jpg,0.0,0.0,0.32982504477200714,0.0,0.0,0.0,0.4652899457655403,0.05438039154915027,0.0,0.0,0.6443331942706161,0.8697182189162663,0.0,0.0,0.9737394957983194,0.433829226716256
canadaojp_2016_11_08_080000.jpg,0.0581345598459728,0.35226073850791245,0.2867174417976557,0.0,0.06408703114745826,0.13767723102585477,0.4303854264818055,0.11214099385298827,0.06172839506172833,0.3386307018297396,0.8695424836601306,0.8931311018131102,0.12436676798378998,0.02722270489429497,0.997770897832817,0.3008193863319386
canadaojp_2016_11_08_082959.jpg,0.5265567765567755,0.0687051717629312,0.1929703150610091,0.0,0.5200919874122489,0.10222464180544902,0.3782207871215312,0.32765445012655614,0.05179517363154799,0.09799850031724072,0.6537330316742083,0.31009478795392326,0.0589664310954064,0.05874416190970436,0.9814107461166286,1.2353556485355648
canadaojp_2016_11_08_090000.jpg,0.5356565656565658,0.19543973941368264,0.2043694020818206,0.0,0.5273133404104743,0.19159484402410182,0.3799188640973631,0.16682163334883,0.45088819226750193,0.020010036381884342,0.5735563950350783,0.602278010227801,0.059449093444909805,0.024289234990726247,0.9586895627816343,0.3453819928715326
canadaojp_2016_11_08_092959.jpg,0.5402298850574705,0.22677369238736286,0.22013223894208828,0.0,0.5297706852621699,0.18839847401531043,0.3899990146812494,0.40332661811043957,0.09072978303747654,0.011140408701384349,0.6610021786492375,0.3156929593470737,0.06874717322478327,0.01774620756079902,0.9694211017740427,1.0518266697660004
canadaojp_2016_11_08_100000.jpg,0.5208657335406944,0.2609180826781642,0.23428401663695775,0.0,0.5202102365160807,0.20198675496688714,0.39178055060407996,0.0872817552559533,0.24393939393939337,0.012411847672778649,0.6557528671846097,0.7748979802675758,0.08854166666666274,0.01012042330616733,0.959500466853408,0.4841449713311638
