timestamp,site_name,best_model
2021-09-09T16:22:29.384636,canadaojp,C:\Users\jewik\GitRepos\snow-classifier\canadaojp_lightning_logs\version_0\checkpoints\epoch=49-step=299.ckpt
2021-09-09T16:43:36.991210,canadaOBS,C:\Users\jewik\GitRepos\snow-classifier\canadaOBS_lightning_logs\version_0\checkpoints\epoch=49-step=299.ckpt
