image,mean,variance
canadaojp_2016_01_02_210000.jpg,0.0,0.0
canadaojp_2016_01_02_212959.jpg,0.0,0.0
canadaojp_2016_01_02_215959.jpg,0.0,0.0
canadaojp_2016_01_02_222959.jpg,0.0,0.0
canadaojp_2016_01_02_225959.jpg,0.0,0.0
canadaojp_2016_01_02_232959.jpg,0.0,0.0
canadaojp_2016_01_02_235959.jpg,0.0,0.0
canadaojp_2016_01_03_003000.jpg,0.0,0.0
canadaojp_2016_01_03_005959.jpg,0.0,0.0
canadaojp_2016_01_03_013000.jpg,0.0,0.0
canadaojp_2016_01_03_015959.jpg,0.0,0.0
canadaojp_2016_01_03_023000.jpg,0.0,0.0
canadaojp_2016_01_03_025959.jpg,0.0,0.0
canadaojp_2016_01_03_033000.jpg,0.0,0.0
canadaojp_2016_01_03_035959.jpg,0.0,0.0
canadaojp_2016_01_03_042959.jpg,0.0,0.0
canadaojp_2016_01_03_045959.jpg,0.0,0.0
canadaojp_2016_01_03_052959.jpg,0.0,0.0
canadaojp_2016_01_03_055959.jpg,0.0,0.0
canadaojp_2016_01_03_062959.jpg,0.0,0.0
canadaojp_2016_01_03_070000.jpg,0.0,0.0
canadaojp_2016_01_03_072959.jpg,0.0,0.0
canadaojp_2016_01_03_080000.jpg,0.0,0.0
canadaojp_2016_01_03_082959.jpg,0.0,0.0
canadaojp_2016_01_03_090000.jpg,49.91572002171925,2483.6144214877095
canadaojp_2016_01_03_092959.jpg,60.35770219701011,2951.4857943831994
canadaojp_2016_01_03_100000.jpg,98.33206756782502,6146.4243005399185
canadaojp_2016_01_03_102959.jpg,88.78715988257633,5783.983411004288
canadaojp_2016_01_03_105959.jpg,77.86200417238226,5186.4520838852895
canadaojp_2016_01_03_112959.jpg,67.31918208288879,4157.731756993716
canadaojp_2016_01_03_115959.jpg,73.39362112133567,4750.0560147971955
canadaojp_2016_01_03_122959.jpg,75.10918388488797,5110.3815852918615
canadaojp_2016_01_03_125959.jpg,74.37779230490779,5370.372027537301
canadaojp_2016_01_03_133000.jpg,72.83668687763553,4620.760406346546
canadaojp_2016_01_03_135959.jpg,73.57278826430168,4636.671182683243
canadaojp_2016_01_03_143000.jpg,72.45785306482752,4570.059606316979
canadaojp_2016_01_03_145959.jpg,78.76221926122797,5310.037943225888
canadaojp_2016_01_03_153000.jpg,86.80526104379413,5380.656712893865
canadaojp_2016_01_03_155959.jpg,96.39821780692729,6809.3827020532435
canadaojp_2016_01_03_163000.jpg,116.7705598581263,7616.664521541386
canadaojp_2016_01_03_165959.jpg,54.06558820587563,2487.6933622168076
canadaojp_2016_01_03_172959.jpg,41.351939570314485,888.9264790134941
canadaojp_2016_01_03_175959.jpg,0.0,0.0
canadaojp_2016_01_03_182959.jpg,0.0,0.0
canadaojp_2016_01_03_185959.jpg,0.0,0.0
canadaojp_2016_01_03_192959.jpg,0.0,0.0
canadaojp_2016_01_03_200000.jpg,0.0,0.0
canadaojp_2016_01_03_202959.jpg,0.0,0.0
canadaojp_2016_01_03_210000.jpg,0.0,0.0
canadaojp_2016_01_03_212959.jpg,0.0,0.0
canadaojp_2016_01_03_220000.jpg,0.0,0.0
canadaojp_2016_01_03_222959.jpg,0.0,0.0
canadaojp_2016_01_03_225959.jpg,0.0,0.0
canadaojp_2016_01_03_232959.jpg,0.0,0.0
canadaojp_2016_01_03_235959.jpg,0.0,0.0
canadaojp_2016_01_04_002959.jpg,0.0,0.0
canadaojp_2016_01_04_005959.jpg,0.0,0.0
canadaojp_2016_01_04_012959.jpg,0.0,0.0
canadaojp_2016_01_04_015959.jpg,0.0,0.0
canadaojp_2016_01_04_023000.jpg,0.0,0.0
canadaojp_2016_01_04_025959.jpg,0.0,0.0
canadaojp_2016_01_04_033000.jpg,0.0,0.0
canadaojp_2016_01_04_035959.jpg,0.0,0.0
canadaojp_2016_01_04_043000.jpg,0.0,0.0
canadaojp_2016_01_04_045959.jpg,0.0,0.0
canadaojp_2016_01_04_052959.jpg,0.0,0.0
canadaojp_2016_01_04_055959.jpg,0.0,0.0
canadaojp_2016_01_04_062959.jpg,0.0,0.0
canadaojp_2016_01_04_065959.jpg,0.0,0.0
canadaojp_2016_01_04_072959.jpg,0.0,0.0
canadaojp_2016_01_04_075959.jpg,0.0,0.0
canadaojp_2016_01_04_082959.jpg,0.0,0.0
canadaojp_2016_01_04_090000.jpg,0.0,0.0
canadaojp_2016_01_04_092959.jpg,56.704080178644006,1661.7267471521225
canadaojp_2016_01_04_100000.jpg,63.95062879451811,2141.528910919267
canadaojp_2016_01_04_102959.jpg,58.31481501327288,2043.9489487220824
canadaojp_2016_01_04_110000.jpg,51.31176074372555,1946.7701465436662
canadaojp_2016_01_04_112959.jpg,49.45586590427018,2017.0680705667492
canadaojp_2016_01_04_115959.jpg,49.12545446895798,2086.277637757532
canadaojp_2016_01_04_122959.jpg,52.805766714931664,1865.7721196497903
canadaojp_2016_01_04_125959.jpg,49.78156237298684,1981.7395447100848
canadaojp_2016_01_04_132959.jpg,51.53347431793934,2250.619941268291
canadaojp_2016_01_04_135959.jpg,70.68120868103186,4605.226864440821
canadaojp_2016_01_04_142959.jpg,69.53675264663669,4494.636084625018
canadaojp_2016_01_04_145959.jpg,79.70646127845094,5700.13440825315
canadaojp_2016_01_04_153000.jpg,86.63281607224508,6219.961502742652
canadaojp_2016_01_04_155959.jpg,99.94607219745465,7215.685291952154
canadaojp_2016_01_04_163000.jpg,118.06201734999746,7474.8326311542205
canadaojp_2016_01_04_165959.jpg,55.90811113968907,3016.838227739998
canadaojp_2016_01_04_173000.jpg,44.922200669676876,952.4143828478905
canadaojp_2016_01_04_175959.jpg,0.0,0.0
canadaojp_2016_01_04_182959.jpg,0.0,0.0
canadaojp_2016_01_04_185959.jpg,0.0,0.0
canadaojp_2016_01_04_192959.jpg,0.0,0.0
canadaojp_2016_01_04_195959.jpg,0.0,0.0
canadaojp_2016_01_04_202959.jpg,0.0,0.0
canadaojp_2016_01_04_210000.jpg,0.0,0.0
canadaojp_2016_01_04_212959.jpg,0.0,0.0
canadaojp_2016_01_04_220000.jpg,0.0,0.0
