canadaojp_2016_01_01_002959.jpg,[0.         0.         0.07552315],[0.         0.         0.10172634],[0.         0.         0.12895658],[0.         0.         0.15786217]
canadaojp_2016_01_01_005959.jpg,[0.         0.         0.07602444],[0.         0.         0.09972219],[0.         0.         0.12530173],[0.        0.        0.1532294]
canadaojp_2016_01_01_012959.jpg,[0.         0.         0.07806861],[0.        0.        0.1032865],[0.         0.         0.12953692],[0.       0.       0.156676]
canadaojp_2016_01_01_015959.jpg,[0.         0.         0.07556989],[0.         0.         0.10216975],[0.        0.        0.1289021],[0.         0.         0.15608729]
canadaojp_2016_01_01_022959.jpg,[0.        0.        0.0804995],[0.         0.         0.10808054],[0.         0.         0.13293903],[0.         0.         0.16274083]
canadaojp_2016_01_01_025959.jpg,[0.        0.        0.0779893],[0.         0.         0.10622398],[0.         0.         0.13498701],[0.         0.         0.16465655]
canadaojp_2016_01_01_032959.jpg,[0.        0.        0.0780808],[0.         0.         0.10658752],[0.         0.         0.13300529],[0.        0.        0.1636292]
canadaojp_2016_01_01_040000.jpg,[0.         0.         0.07827773],[0.         0.         0.10788037],[0.         0.         0.13708338],[0.         0.         0.16446749]
canadaojp_2016_01_01_042959.jpg,[0.         0.         0.07647059],[0.         0.         0.10184587],[0.         0.         0.13077915],[0.         0.         0.16199395]
canadaojp_2016_01_01_050000.jpg,[0.         0.         0.08004887],[0.         0.         0.10956905],[0.         0.         0.13518425],[0.         0.         0.16060778]
canadaojp_2016_01_01_052959.jpg,[0.        0.        0.0784008],[0.       0.       0.105806],[0.         0.         0.13283287],[0.         0.         0.16105102]
canadaojp_2016_01_01_060000.jpg,[0.        0.        0.0752575],[0.         0.         0.10228758],[0.         0.         0.12917525],[0.         0.         0.15956116]
canadaojp_2016_01_01_062959.jpg,[0.         0.         0.07605588],[0.         0.         0.10151545],[0.         0.         0.12960345],[0.         0.         0.15936819]
canadaojp_2016_01_01_065959.jpg,[0.         0.         0.07574782],[0.         0.         0.09959261],[0.         0.         0.12533362],[0.         0.         0.15330692]
canadaojp_2016_01_01_072959.jpg,[0.         0.         0.07569204],[0.         0.         0.10139672],[0.         0.         0.12975048],[0.         0.         0.15629294]
canadaojp_2016_01_01_075959.jpg,[0.         0.         0.08496164],[0.         0.         0.11647378],[0.        0.        0.1466363],[0.         0.         0.17912446]
canadaojp_2016_01_01_082959.jpg,[0.         0.         0.26987644],[0.         0.         0.36491979],[0.         0.         0.47742101],[0.         0.         0.63062161]
canadaojp_2016_01_01_085959.jpg,[0.03556728 0.19662595 0.22341075],[0.05037289 0.06676536 0.35597493],[0.05762598 0.21075408 0.64837338],[0.07237063 0.14298584 0.87061961]
