image,h0,s0,v0,r0,h1,s1,v1,r1,h2,s2,v2,r2,h3,s3,v3,r3
canadaojp_2016_05_31_103000.jpg,0.13682313642756685,0.42123972450566494,0.17476218210056294,0.19257193036830414,0.1544981458976037,0.29025343246323315,0.32188305166164466,0.09303812180381218,0.1486506524317913,0.21072365954255706,0.4665646184124207,0.26298168810372435,0.6197671815536149,0.07627683008042611,0.9569117647058821,0.4514082597241593
canadaojp_2016_05_31_110000.jpg,0.17312348668280855,0.19085027726432552,0.19583710407239827,0.264637894519345,0.17987232444611356,0.1431989890570806,0.35061274509803925,0.0937128725657317,0.15747549019607823,0.12132024977698491,0.5013071895424837,0.4373837749883775,0.5857687420584496,0.06532475617347988,0.9842728758169932,0.2042654579265458
canadaojp_2016_05_31_113000.jpg,0.34369602763385676,0.04316707671661853,0.1984905660377357,0.4536907898135234,0.2492551543320225,0.06823116141780303,0.3818452796795678,0.09522379771682421,0.2003484320557494,0.039268000684111654,0.5459383753501401,0.24812425745131464,0.5231884057971015,0.008712781271308399,0.995399698340875,0.20296115501833772
canadaojp_2016_05_31_120001.jpg,0.19101123595505656,0.11091724825523445,0.17009009009009016,0.09484283795650601,0.1858895285087716,0.1169090253575292,0.3377988876710104,0.4596731494395372,0.16409847679773296,0.060514469453376095,0.4977991196478591,0.24209024226457979,0.5843896713615021,0.06511969182793707,0.9829163849447822,0.20339377033937703
canadaojp_2016_05_31_123000.jpg,0.42384682332463,0.06609716110104323,0.20198692810457514,0.4357146546825766,0.2708643445469886,0.07618680396470785,0.3816733757520669,0.0983554160855416,0.23883543054527476,0.043687750614409576,0.5413865546218487,0.24354305490986106,0.61025641025641,0.0053030921106307066,0.9809523809523808,0.22238687432202076
canadaojp_2016_05_31_130001.jpg,0.5781862745098043,0.0714886459209424,0.19129210658622434,0.2700843277028772,0.29549420910677404,0.05394233484813488,0.36805102763997166,0.09847809804225424,0.233156699470099,0.03332324302507451,0.5342227612694562,0.19429916317991633,0.5987654320987353,0.0010887974836682906,0.9822935234699942,0.4371384110749522
canadaojp_2016_05_31_133000.jpg,0.45588758448950745,0.08013341315316737,0.20748824416644465,0.09965971899374967,0.2907156673114114,0.05942392128916567,0.38335316148931475,0.43177268970504673,0.24799541809851086,0.044367872171738716,0.5472507300792657,0.21771527454930523,0.1344086021505911,0.0012356997648185868,0.9937413349178054,0.25085231675189834
canadaojp_2016_05_31_140001.jpg,0.4028290282902802,0.06344127975029229,0.21755368814192352,0.45548582054858205,0.27197858760551763,0.06763163940931981,0.39526934984520123,0.09718025207913632,0.2594936708860753,0.02879848352289307,0.5602941176470588,0.24496035435714655,0.4139784946236787,0.0024067388688330926,0.9904267589388696,0.2023735730151351
canadaojp_2016_05_31_143000.jpg,0.40272690272690276,0.07105674128058376,0.19652173913043489,0.2524084405186218,0.2662116040955631,0.06864506052323317,0.3756784509314948,0.21397993181465985,0.2550233966418933,0.03245169761770764,0.5400043412198827,0.0986104654166021,0.43217054263566906,0.0034803723188989145,0.9887955182072827,0.4350011622501162
canadaojp_2016_05_31_150000.jpg,0.4437158469945371,0.06881768953068475,0.21024667931688795,0.2245725502350328,0.2710094999478026,0.07644242279147721,0.39854968751490866,0.0999857947208017,0.2042129900526621,0.0483314479638008,0.5502645502645502,0.4254868536597965,0.6035825545171313,0.00963052967913234,0.9791143423661598,0.24995480138436904
canadaojp_2016_05_31_153000.jpg,0.47282608695652223,0.052481460353678865,0.17996098963145452,0.18743220207655353,0.28832208052012975,0.07281168919841594,0.3635145197319434,0.10009233431478899,0.21082120755979286,0.048839659862278555,0.5080236539060069,0.3111375845859807,0.6428571428571405,0.0011250853859444718,0.9858189740542683,0.4013378790226768
canadaojp_2016_05_31_160000.jpg,0.5494839101396466,0.05660377358490667,0.19307255897282782,0.4405444496100005,0.2629744958481613,0.054423086234444966,0.3673113689920412,0.09708339790278424,0.23496009821976768,0.03255200527546307,0.515084143893778,0.2414639185908363,0.4939172749391732,0.005052926640356682,0.9844952795933186,0.22090823389637895
canadaojp_2016_05_31_163000.jpg,0.5599439775910361,0.07165221579961488,0.17892695539754358,0.45568921431892145,0.26642335766423303,0.050957783150455994,0.3380565051671972,0.09620202489798027,0.2331677704194258,0.020005962041667925,0.48923999351806835,0.19584237305645952,0.6124031007752213,0.002208299096137843,0.9916984975808506,0.2522663877266388
canadaojp_2016_05_31_170000.jpg,0.6257861635220127,0.07815335753176036,0.18006535947712407,0.21989449351722712,0.2455632716049383,0.04625762929649867,0.3496279657447705,0.27084624722351364,0.22963800904977263,0.02463905457383355,0.5024929971988795,0.09820367787592334,0.5491889063317643,0.023214285714285646,0.987227918690412,0.4110555813833359
canadaojp_2016_05_31_173000.jpg,0.47130647130647135,0.038067349926792934,0.2146834306241579,0.2567023090035642,0.25501408917619756,0.04901650132839333,0.38675527903469076,0.09899465364946536,0.23187686196623725,0.031969268865678364,0.5417784657722738,0.4202696420269642,0.523148148148146,0.001515023987879731,0.9913224864413852,0.2240333953200062
canadaojp_2016_05_31_180000.jpg,0.13390804597701345,0.0975576936015601,0.18386837384796184,0.12187161010382767,0.16850763807285563,0.13672000514105787,0.3654103557590701,0.3171199442119944,0.1594152046783623,0.12425519546577547,0.5668973471741638,0.2415478588770081,0.6099885000821421,0.15450218922520484,0.927927927927928,0.31946058680716977
canadaojp_2016_05_31_183001.jpg,0.6477618426770975,0.09081221880179938,0.18000852514919014,0.20227026189369285,0.31786542923434125,0.024348906841421387,0.3541616646658664,0.284480086781342,0.24993840847499305,0.031005087309225743,0.5298124203241668,0.41136874322020767,0.6914893617021205,0.0018378758847227695,0.992933410988158,0.10188090810475747
canadaojp_2016_05_31_190000.jpg,0.2058043117744606,0.06448508180943192,0.17975778546712795,0.357017407923963,0.19540569851128856,0.10821970424428652,0.3657243195785777,0.2120719045405238,0.17522016398420912,0.10896396545448536,0.5725300748318651,0.3147211891110078,0.5397760754272242,0.060017683465959176,0.939680957128614,0.11618949842450539
canadaojp_2016_05_31_193001.jpg,0.6413990540204141,0.1332603503184709,0.19603941078919135,0.4107650188542797,0.4591561938958712,0.029376862424514323,0.3574754901960785,0.10226186786507567,0.47491909385113323,0.011071697301945469,0.519321750052334,0.2816164316338654,0.6381578947368493,0.002943682701990619,0.9926182237600921,0.20535668164677928
