canadaojp_2016_01_01_002959.jpg,[0.         0.         0.06957258],[0.         0.         0.08235294],[0.         0.         0.09350691],[0.         0.         0.10788315],[0.        0.        0.1233057],[0.         0.         0.13694733],[0.         0.         0.15196078],[0.         0.         0.17172052]
canadaojp_2016_01_01_005959.jpg,[0.         0.         0.06996756],[0.         0.         0.08430074],[0.         0.         0.09968299],[0.         0.         0.11547924],[0.         0.         0.12951063],[0.         0.         0.14105518],[0.         0.         0.15370467],[0.         0.         0.17262301]
canadaojp_2016_01_01_012959.jpg,[0.         0.         0.07043137],[0.         0.         0.08473308],[0.         0.         0.09796522],[0.         0.         0.11111938],[0.         0.         0.12697274],[0.         0.         0.14066152],[0.         0.         0.15309201],[0.         0.         0.16623094]
canadaojp_2016_01_01_015959.jpg,[0.         0.         0.06967419],[0.         0.         0.08218094],[0.         0.         0.09623292],[0.        0.        0.1114783],[0.         0.         0.12779864],[0.         0.         0.14070722],[0.         0.         0.15361854],[0.         0.         0.17236228]
canadaojp_2016_01_01_022959.jpg,[0.         0.         0.07246732],[0.         0.         0.08970588],[0.         0.         0.10801615],[0.         0.         0.12132992],[0.         0.         0.13319926],[0.         0.         0.14650868],[0.         0.         0.16224712],[0.         0.         0.17960784]
canadaojp_2016_01_01_025959.jpg,[0.         0.         0.07188513],[0.         0.         0.08862745],[0.         0.         0.10393252],[0.         0.         0.11969188],[0.         0.         0.13600581],[0.         0.         0.15108932],[0.         0.         0.16704926],[0.        0.        0.1885763]
canadaojp_2016_01_01_032959.jpg,[0.         0.         0.07195446],[0.         0.         0.08851541],[0.         0.         0.10383736],[0.         0.         0.11983093],[0.         0.         0.13483709],[0.         0.         0.14901961],[0.        0.        0.1620227],[0.         0.         0.18047059]
canadaojp_2016_01_01_040000.jpg,[0.         0.         0.06974558],[0.         0.         0.08487911],[0.        0.        0.0996646],[0.         0.         0.11533613],[0.         0.         0.13055114],[0.         0.         0.14945233],[0.         0.         0.16736695],[0.        0.        0.1874097]
canadaojp_2016_01_01_042959.jpg,[0.         0.         0.06937611],[0.         0.         0.08436155],[0.         0.         0.10008971],[0.         0.         0.11561866],[0.         0.         0.13194536],[0.        0.        0.1470915],[0.         0.         0.16161869],[0.         0.         0.17810458]
canadaojp_2016_01_01_050000.jpg,[0.         0.         0.06969975],[0.         0.         0.08446456],[0.        0.        0.0975892],[0.         0.         0.11190568],[0.         0.         0.12696684],[0.         0.         0.14080651],[0.         0.         0.15465448],[0.         0.         0.17000344]
canadaojp_2016_01_01_052959.jpg,[0.         0.         0.07424837],[0.         0.         0.09252977],[0.         0.         0.10645113],[0.         0.         0.12009227],[0.         0.         0.13790463],[0.         0.         0.15415582],[0.         0.         0.16903313],[0.         0.         0.19142157]
canadaojp_2016_01_01_060000.jpg,[0.        0.        0.0698366],[0.         0.         0.08395592],[0.         0.         0.09961712],[0.         0.         0.11414781],[0.        0.        0.1262605],[0.         0.         0.13916476],[0.         0.         0.15456017],[0.         0.         0.17158284]
canadaojp_2016_01_01_062959.jpg,[0.         0.         0.06754792],[0.         0.         0.07823529],[0.         0.         0.09249092],[0.         0.         0.10703013],[0.         0.         0.12378838],[0.         0.         0.13901713],[0.         0.         0.15441176],[0.         0.         0.17144435]
canadaojp_2016_01_01_065959.jpg,[0.         0.         0.07028658],[0.         0.         0.08419048],[0.        0.        0.0999091],[0.         0.         0.11417484],[0.         0.         0.12721667],[0.         0.         0.14265343],[0.         0.         0.15903666],[0.         0.         0.17900807]
